,Date,Average Duration,No. of devices,No. of browsers,No. of sites visited,Download GB,Upload GB,E-commerce Visits,Social Media Visits,Peak Bandwidth Time
0,2015-01-01,15.0,101.0,699.0,201.0,5509.0,2931.0,8865.0,8314.715762011318,5.0
1,2015-01-02,20.0,101.0,1216.0,201.0,5046.0,1478.0,8834.0,8482.649542521092,3.0
2,2015-01-03,18.0,101.0,1102.0,201.0,4903.0,2029.0,7667.0,7977.527732660722,3.0
3,2015-01-04,22.0,101.0,483.0,201.0,4798.0,2077.0,8468.0,8022.503467724787,7.0
4,2015-01-05,22.0,101.0,774.0,201.0,6203.0,2186.0,7540.0,7845.408549098389,1.0
5,2015-01-06,16.0,100.0,1251.0,201.0,5821.0,1422.0,7835.0,8960.918488846053,2.0
6,2015-01-07,16.0,101.0,578.0,201.0,5428.0,1000.0,7928.0,8746.857325622726,2.0
7,2015-01-08,22.0,101.0,1473.0,201.0,5548.0,2663.0,8261.0,8001.917136509947,2.0
8,2015-01-09,24.0,101.0,407.0,201.0,4971.0,1422.0,7633.0,8993.98293635088,4.0
9,2015-01-10,23.0,101.0,1290.0,200.0,5418.0,2823.0,8424.0,8834.99146386566,3.0
10,2015-01-11,17.0,101.0,1177.0,201.0,5774.0,2366.0,7668.0,8310.182472008997,6.0
11,2015-01-12,19.0,101.0,847.0,201.0,5021.0,1244.0,9355.0,8511.593895778002,4.0
12,2015-01-13,21.0,101.0,826.0,201.0,6241.0,3082.0,8942.0,8718.317616745568,1.0
13,2015-01-14,21.0,101.0,1335.0,201.0,6409.0,1672.0,9065.0,7856.100637739691,2.0
14,2015-01-15,17.0,101.0,1197.0,201.0,6398.0,1327.0,8360.0,7823.836381883008,2.0
15,2015-01-16,20.0,101.0,255.0,201.0,6332.0,3251.0,8618.0,9240.464778865906,8.0
16,2015-01-17,19.0,101.0,402.0,201.0,6212.0,1459.0,8465.0,7966.8537969647805,1.0
17,2015-01-18,13.0,101.0,1355.0,201.0,5835.0,2331.0,8862.0,8532.465609679857,5.0
18,2015-01-19,22.0,101.0,1273.0,201.0,5602.0,2197.0,8182.0,9253.891688650932,2.0
19,2015-01-20,23.0,101.0,760.0,201.0,5479.0,1801.0,9241.0,8416.851718503742,4.0
20,2015-01-21,17.0,101.0,100.0,201.0,5261.0,2879.0,8313.0,8938.099681277388,4.0
21,2015-01-22,20.0,101.0,756.0,201.0,5506.0,2812.0,9450.0,8929.977783327287,3.0
22,2015-01-23,14.0,101.0,1169.0,201.0,5302.0,2041.0,8394.0,8998.954958224062,4.0
23,2015-01-24,17.0,101.0,1087.0,201.0,6505.0,2966.0,8875.0,8644.976998920505,5.0
24,2015-01-25,24.0,101.0,1540.0,201.0,5405.0,1499.0,8487.0,8492.095882720265,1.0
25,2015-01-26,21.0,101.0,1017.0,201.0,5450.0,1779.0,9667.0,8675.949059076358,5.0
26,2015-01-27,18.0,101.0,1018.0,201.0,5694.0,1970.0,8346.0,9235.709239004711,5.0
27,2015-01-28,22.0,101.0,1490.0,201.0,6456.0,2355.0,9703.0,8689.460739507238,4.0
28,2015-01-29,17.0,101.0,568.0,201.0,6302.0,1798.0,9102.0,8220.564503484022,3.0
29,2015-01-30,20.0,101.0,969.0,201.0,5765.0,2921.0,9730.0,8434.226078679501,2.0
30,2015-01-31,23.0,101.0,324.0,201.0,6051.0,3492.0,8669.0,8529.143281237855,8.0
31,2015-02-01,18.0,101.0,1056.0,201.0,5398.0,3343.0,8344.0,8441.408748201999,1.0
32,2015-02-02,22.0,101.0,1305.0,201.0,6510.0,2656.0,8533.0,9120.4468817646,3.0
33,2015-02-03,15.0,101.0,1606.0,201.0,5956.0,3711.0,9813.0,8628.9146504456,2.0
34,2015-02-04,21.0,101.0,593.0,201.0,5553.0,2779.0,9283.0,9274.38777237,1.0
35,2015-02-05,21.0,101.0,262.0,201.0,6382.0,2984.0,8597.0,9792.102815168852,1.0
36,2015-02-06,16.0,101.0,275.0,201.0,5447.0,3443.0,9599.0,8522.02716955462,4.0
37,2015-02-07,24.0,101.0,1135.0,201.0,6571.0,3362.0,9538.0,9483.514539921696,3.0
38,2015-02-08,18.0,101.0,1470.0,201.0,6600.0,2906.0,8831.0,8480.45161111857,5.0
39,2015-02-09,24.0,101.0,915.0,201.0,5633.0,3804.0,8583.0,9360.660283830035,4.0
40,2015-02-10,14.0,101.0,476.0,201.0,6134.0,2020.0,8488.0,8464.13775532465,4.0
41,2015-02-11,15.0,101.0,375.0,201.0,6322.0,3484.0,9198.0,8742.93465226035,0.0
42,2015-02-12,13.0,101.0,641.0,201.0,6196.0,3302.0,8803.0,9377.432717631256,6.0
43,2015-02-13,21.0,101.0,491.0,201.0,6665.0,2858.0,9654.0,9139.997895142957,1.0
44,2015-02-14,20.0,101.0,1918.0,201.0,5999.0,3167.0,9292.0,9464.201818380063,6.0
45,2015-02-15,19.0,101.0,1511.0,201.0,6287.0,3966.0,8955.0,9655.830528415583,7.0
46,2015-02-16,13.0,101.0,1107.0,201.0,5641.0,4109.0,9986.0,9753.443487468234,5.0
47,2015-02-17,19.0,101.0,1680.0,201.0,6189.0,3472.0,10132.0,9882.81356975673,2.0
48,2015-02-18,17.0,101.0,1778.0,201.0,5694.0,2030.0,9619.0,8674.122914950347,5.0
49,2015-02-19,19.0,101.0,1034.0,201.0,6961.0,2353.0,9590.0,8792.034960688117,2.0
50,2015-02-20,14.0,101.0,1642.0,201.0,5595.0,3039.0,8845.0,9127.29923593976,1.0
51,2015-02-21,20.0,101.0,1042.0,201.0,6237.0,3908.0,8623.0,9526.199446563367,3.0
52,2015-02-22,19.0,101.0,1685.0,201.0,6168.0,3296.0,8802.0,9152.751356322362,5.0
53,2015-02-23,13.0,101.0,538.0,201.0,5617.0,2837.0,10252.0,10131.661826100066,14.0
54,2015-02-24,20.0,101.0,750.0,201.0,5914.0,4343.0,9125.0,9756.785185903638,8.0
55,2015-02-25,24.0,101.0,892.0,201.0,6006.0,4433.0,9626.0,8844.41687120727,1.0
56,2015-02-26,22.0,101.0,1950.0,201.0,5672.0,2885.0,9287.0,10094.425671115674,1.0
57,2015-02-27,24.0,101.0,1077.0,201.0,6850.0,3909.0,10068.0,9870.988871538435,8.0
58,2015-02-28,24.0,101.0,691.0,201.0,5956.0,3851.0,9786.0,9093.42898754133,3.0
59,2015-03-01,22.0,101.0,1575.0,201.0,5991.0,3470.0,10460.0,8962.964974548893,2.0
60,2015-03-02,16.0,101.0,1572.0,201.0,7083.0,4076.0,8840.0,10183.864457222622,4.0
61,2015-03-03,20.0,101.0,1600.0,201.0,6977.0,3361.0,9987.0,10245.78703766491,11.0
62,2015-03-04,18.0,101.0,1298.0,201.0,6398.0,4062.0,9465.0,9876.340998051804,9.0
63,2015-03-05,15.0,101.0,1839.0,201.0,6400.0,2552.0,9094.0,9108.14361307432,13.0
64,2015-03-06,17.0,101.0,1472.0,201.0,6203.0,4246.0,9556.0,9770.580830072357,6.0
65,2015-03-07,13.0,101.0,1474.0,201.0,5937.0,2726.0,10341.0,9677.09449350394,2.0
66,2015-03-08,18.0,101.0,1611.0,201.0,6897.0,4220.0,10037.0,9176.624493895444,9.0
67,2015-03-09,24.0,101.0,2015.0,201.0,6395.0,4284.0,10032.0,9969.634397158983,7.0
68,2015-03-10,14.0,101.0,1236.0,201.0,7019.0,3967.0,9916.0,9174.870566091166,2.0
69,2015-03-11,14.0,101.0,981.0,201.0,6960.0,2667.0,9153.0,9095.938606687587,7.0
70,2015-03-12,21.0,101.0,1964.0,201.0,5971.0,4637.0,9206.0,9533.747582639302,5.0
71,2015-03-13,20.0,101.0,836.0,201.0,6071.0,4554.0,9829.0,10314.96650449927,6.0
72,2015-03-14,18.0,101.0,1788.0,201.0,6968.0,4465.0,10181.0,10000.36698611075,1.0
73,2015-03-15,14.0,101.0,1450.0,201.0,6237.0,3260.0,10601.0,9709.095692979598,4.0
74,2015-03-16,15.0,101.0,1111.0,201.0,7265.0,2906.0,9230.0,10546.442035354585,8.0
75,2015-03-17,23.0,101.0,1703.0,201.0,6604.0,2975.0,10477.0,10124.277719057116,2.0
76,2015-03-18,18.0,101.0,1594.0,201.0,6794.0,4718.0,9175.0,9966.853787461525,12.0
77,2015-03-19,19.0,101.0,1871.0,201.0,6824.0,4271.0,10053.0,10386.515817163956,9.0
78,2015-03-20,13.0,101.0,859.0,201.0,6608.0,5037.0,9998.0,10122.609230458236,4.0
79,2015-03-21,16.0,101.0,692.0,201.0,6577.0,3877.0,9434.0,10332.094358236658,6.0
80,2015-03-22,18.0,101.0,819.0,201.0,6686.0,5060.0,9619.0,10690.433339836918,1.0
81,2015-03-23,20.0,101.0,2101.0,201.0,6210.0,4459.0,10636.0,9396.292479823182,5.0
82,2015-03-24,23.0,101.0,1800.0,201.0,6859.0,3586.0,9491.0,9536.291179512631,1.0
83,2015-03-25,20.0,101.0,1993.0,201.0,6089.0,4814.0,10762.0,10319.056563676228,10.0
84,2015-03-26,21.0,101.0,1257.0,201.0,6315.0,4419.0,9607.0,10924.834113159195,9.0
85,2015-03-27,14.0,101.0,1721.0,201.0,6752.0,3097.0,10701.0,10810.243833857541,2.0
86,2015-03-28,21.0,101.0,1640.0,201.0,6239.0,5030.0,9581.0,10208.341554489845,6.0
87,2015-03-29,22.0,101.0,919.0,201.0,6211.0,3029.0,10439.0,10697.324501141375,6.0
88,2015-03-30,20.0,101.0,1564.0,201.0,6107.0,4078.0,10661.0,9988.33913958787,1.0
89,2015-03-31,18.0,101.0,1583.0,201.0,7142.0,4072.0,10801.0,9799.026802389444,3.0
90,2015-04-01,14.0,101.0,1378.0,201.0,7240.0,4310.0,9539.0,9735.252840917567,10.0
91,2015-04-02,19.0,101.0,822.0,201.0,7180.0,4152.0,10038.0,9609.993803105132,7.0
92,2015-04-03,19.0,101.0,1361.0,201.0,7570.0,3436.0,9560.0,10667.763907595525,10.0
93,2015-04-04,24.0,101.0,1370.0,201.0,6249.0,4828.0,9929.0,10866.806814287142,8.0
94,2015-04-05,18.0,101.0,2195.0,201.0,7164.0,4132.0,10238.0,10156.489734959878,6.0
95,2015-04-06,18.0,101.0,1381.0,201.0,6408.0,4724.0,9824.0,10346.76909043036,1.0
96,2015-04-07,19.0,101.0,1628.0,201.0,7113.0,3376.0,11104.0,9801.451431610374,6.0
97,2015-04-08,22.0,101.0,1773.0,201.0,6475.0,4992.0,11198.0,10347.682159135302,7.0
98,2015-04-09,13.0,101.0,1619.0,201.0,7612.0,3697.0,10192.0,11199.435393734757,9.0
99,2015-04-10,20.0,101.0,1693.0,201.0,7311.0,3442.0,10558.0,10495.215063663156,2.0
100,2015-04-11,22.0,101.0,2233.0,201.0,7369.0,3615.0,11051.0,10668.886603478335,10.0
101,2015-04-12,21.0,101.0,1347.0,201.0,7090.0,5313.0,10865.0,10726.31678249,4.0
102,2015-04-13,22.0,101.0,1389.0,201.0,6642.0,5373.0,10260.0,10209.375184958179,6.0
103,2015-04-14,19.0,101.0,1735.0,201.0,7572.0,4937.0,10382.0,10169.801803694076,7.0
104,2015-04-15,24.0,101.0,1478.0,201.0,7362.0,4053.0,11399.0,11166.300775191234,2.0
105,2015-04-16,14.0,101.0,1704.0,201.0,6817.0,4367.0,11432.0,10777.654471876509,6.0
106,2015-04-17,13.0,101.0,964.0,201.0,6680.0,4789.0,11360.0,9986.05813207026,3.0
107,2015-04-18,19.0,101.0,2385.0,201.0,7618.0,5426.0,11037.0,10486.289152425275,8.0
108,2015-04-19,14.0,101.0,1387.0,201.0,7437.0,5369.0,11480.0,10496.903205126213,5.0
109,2015-04-20,24.0,101.0,1928.0,201.0,6838.0,4771.0,10126.0,11229.509749696213,7.0
110,2015-04-21,16.0,101.0,1111.0,201.0,6845.0,4014.0,9996.0,10441.618076234925,5.0
111,2015-04-22,15.0,101.0,962.0,201.0,6734.0,3793.0,11332.0,10803.41510387525,2.0
112,2015-04-23,18.0,101.0,1667.0,201.0,7698.0,4561.0,10612.0,10129.789611933846,6.0
113,2015-04-24,23.0,101.0,2433.0,201.0,6511.0,4389.0,11578.0,10736.346555639748,2.0
