,Date,Temperature (Min),Temperature (Max),Pressure,Direction of Wind,Velocity of Wind,Humidity,Carbon Monoxide,UV Rays,Intensity of Light,Clouds,Rainfall
0,1970-01-01,18.0,38.0,760.0,NorthWest,32.21734953741051,14.0,0.02071526078967011,1.8634031869371352,18149.0,Mammatus Clouds,0.00967236770783177
1,1970-01-02,19.0,37.0,731.0,NorthWest,32.328601398563336,21.0,0.0039459040585592955,1.920999243317121,18204.0,Altostratus,0.018841425955066913
2,1970-01-03,18.0,36.0,783.0,SouthWest,28.9634772027285,24.0,0.13555168912194743,1.9183423007326943,17940.0,Cumulus: Fluffy,0.015432348662911405
3,1970-01-04,19.0,35.0,784.0,NorthEast,31.38431527111463,23.0,0.13146990550702362,1.9303244190087363,17684.0,Altostratus,0.013167754689205398
4,1970-01-05,19.0,37.0,735.0,NorthWest,33.573667596706,21.0,0.0,1.914345516135402,17589.0,Altostratus,0.0013196227979227987
5,1970-01-06,18.0,37.0,724.0,SouthWest,32.70327020512213,19.0,0.12278261084759255,1.986118317590441,18125.0,Altostratus,0.01379625497935417
6,1970-01-07,18.0,37.0,751.0,SouthEast,38.16422061095213,19.0,0.08772371249352623,1.9157934620053987,17559.0,Cirrus,0.002022682502247529
7,1970-01-08,19.0,36.0,731.0,SouthEast,34.60779839223872,14.0,0.16414738571534648,1.984535154376327,17644.0,Cumulonimbus,0.0008867433944559627
8,1970-01-09,19.0,35.0,718.0,NorthWest,33.62589885988264,12.0,0.11185732351573473,1.8500146425474417,17488.0,Nimbostratus,0.01663494383736545
9,1970-01-10,19.0,35.0,746.0,SouthWest,38.113967976745684,14.0,0.13718970389258225,1.956716326938053,16970.0,Altostratus,0.022576980608047092
10,1970-01-11,18.0,36.0,717.0,NorthEast,32.08025773613045,0.0,0.10705126340375919,1.9049383859343512,17293.0,Cirrostratus,0.012003811827697154
11,1970-01-12,19.0,36.0,713.0,SouthEast,34.27546839003342,24.0,0.17271491350434562,1.8225018103273287,17396.0,Cirrocumulus,0.0023672944924944964
12,1970-01-13,19.0,38.0,810.0,SouthWest,37.34044791862711,10.0,0.1801324741082204,1.9928982572557612,17401.0,Cirrocumulus,0.008014190878058212
13,1970-01-14,19.0,36.0,766.0,SouthWest,34.65281812697174,6.0,0.1493143113613717,1.8712382814754445,17066.0,Cirrostratus,0.013430211405863375
14,1970-01-15,18.0,36.0,814.0,NorthWest,33.102892897663274,2.0,0.14928103803899903,1.8240962275122041,17065.0,Nimbostratus,0.0187167803444014
15,1970-01-16,19.0,38.0,759.0,NorthWest,33.03042624405089,14.0,0.06519356129335015,1.7829621530571111,17881.0,Mammatus Clouds,0.004686549236178383
16,1970-01-17,19.0,36.0,729.0,NorthEast,35.02457091119386,12.0,0.09647701581041243,1.898387285181396,18249.0,Cirrostratus,0.011141035435582529
17,1970-01-18,18.0,38.0,780.0,SouthWest,33.38101293663499,1.0,0.08220656106052113,1.9903579312427837,17294.0,Stratus,0.01757050171620719
18,1970-01-19,19.0,38.0,794.0,NorthEast,34.72825261226358,18.0,0.09438303127755361,1.8250734238693944,16860.0,Nimbostratus,0.009511656748552297
19,1970-01-20,19.0,36.0,773.0,NorthEast,28.930719948257256,25.0,0.14305721662941778,1.7856488877266874,17735.0,Mammatus Clouds,0.021499747943206447
20,1970-01-21,18.0,38.0,748.0,SouthEast,33.36037257689233,4.0,0.003959018158969734,1.8229802078709127,17050.0,Altostratus,0.009019432385571449
21,1970-01-22,19.0,38.0,766.0,SouthEast,32.5309147999369,9.0,0.15256773398657708,1.9938705577164113,18203.0,Cumulus: Fluffy,0.01571089909059732
22,1970-01-23,18.0,38.0,802.0,NorthEast,36.68211972980966,19.0,0.044784069241294445,1.8857088351543,17422.0,Altocumulus,0.018680919328427758
23,1970-01-24,18.0,38.0,795.0,SouthWest,35.29364081845988,8.0,0.16502814076699615,1.7990412825000346,17873.0,Mammatus Clouds,0.018049234027209902
24,1970-01-25,19.0,37.0,735.0,SouthWest,34.21037196827999,9.0,0.06529287248043705,1.7807894087418885,18148.0,Cirrocumulus,0.003644427481091382
25,1970-01-26,19.0,38.0,733.0,NorthWest,37.28082440538437,26.0,0.21745305159396283,1.983919475072338,18154.0,Nimbostratus,0.0025419345770758242
26,1970-01-27,18.0,35.0,811.0,NorthWest,32.387171307213514,6.0,0.21080656403473097,1.8489954730524962,17289.0,Cirrocumulus,0.005345432003215451
27,1970-01-28,19.0,36.0,760.0,SouthWest,28.030721635902296,8.0,0.046663389131386616,1.7845183726100677,16986.0,Cirrus,0.008962821119291335
28,1970-01-29,18.0,38.0,741.0,SouthEast,31.22292413960053,3.0,0.21004540982179765,1.9054749728790747,18045.0,Altostratus,0.01485874786927265
29,1970-01-30,19.0,36.0,729.0,NorthWest,34.638721308354846,3.0,0.2117133030869607,1.9419077750520097,16927.0,Contrails,0.016399914932386045
30,1970-01-31,19.0,35.0,767.0,NorthEast,30.231447760859883,10.0,0.15192998536861382,1.9988032677696201,17130.0,Stratus,0.015703760485345955
31,1970-02-01,18.0,36.0,816.0,SouthWest,37.918637908658106,25.0,0.07784112940821472,1.8105694270975887,18165.0,Altocumulus,0.0050304851878927555
32,1970-02-02,19.0,37.0,717.0,SouthEast,28.29942494669061,22.0,0.21929853161132476,1.800565837058869,17268.0,Mammatus Clouds,0.008805917893822209
33,1970-02-03,18.0,36.0,792.0,NorthEast,35.122160972274955,25.0,0.038417721837839175,1.9638288846474352,18284.0,Cirrostratus,0.013422137751990755
34,1970-02-04,19.0,36.0,787.0,SouthEast,35.46790732323672,26.0,0.159395490668657,1.9051527128502697,18167.0,Contrails,0.0055823000432623894
35,1970-02-05,19.0,36.0,726.0,SouthEast,32.07393267697606,6.0,0.08586020391526869,1.8695040413965385,17328.0,Nimbostratus,0.017486031927722478
36,1970-02-06,18.0,37.0,731.0,NorthWest,31.917307638771128,4.0,0.09347376873199723,2.0,18187.0,Cumulus: Fluffy,0.008180508403485947
37,1970-02-07,19.0,36.0,725.0,SouthWest,35.06924409593306,6.0,0.041052148231358714,1.9994077976987643,18334.0,Nimbostratus,0.0017968925006478103
38,1970-02-08,18.0,38.0,797.0,NorthEast,37.71884688679914,26.0,0.14531466716944913,1.8897191211315822,17610.0,Cumulonimbus,0.007698397702672326
39,1970-02-09,19.0,38.0,784.0,NorthEast,29.934325586055692,19.0,0.09169719585889702,1.9681297543616734,17414.0,Cirrus,0.016171630379340083
40,1970-02-10,18.0,37.0,805.0,SouthWest,28.460563782150114,21.0,0.13859467094338354,1.9782154821856779,17606.0,Altocumulus,0.010151097035480637
41,1970-02-11,18.0,37.0,711.0,NorthWest,29.743020421342408,20.0,0.18206585348884885,1.8741182111764705,18253.0,Lenticular Clouds,0.007982619472768885
42,1970-02-12,18.0,38.0,785.0,SouthEast,31.709255545806638,11.0,0.1562553669276269,1.863439267857151,17090.0,Cirrus,0.01558398871831504
43,1970-02-13,19.0,38.0,752.0,SouthEast,28.67416068828886,13.0,0.2230777081656198,1.9772497440832377,17557.0,Lenticular Clouds,0.014681011260327644
44,1970-02-14,19.0,37.0,816.0,SouthEast,31.413442329460697,5.0,0.08446659561248063,1.8666967447330405,18243.0,Stratus,0.011483063360809152
45,1970-02-15,19.0,38.0,763.0,SouthWest,34.68538675301671,20.0,0.14577022882918386,1.7975709729920335,18379.0,Cirrostratus,0.010854881135541977
46,1970-02-16,18.0,36.0,812.0,NorthEast,30.16543899089949,24.0,0.032790103594727775,1.826791981066785,18013.0,Stratus,0.02531098589664528
47,1970-02-17,19.0,36.0,765.0,SouthWest,37.70934771893505,20.0,0.20222715145043926,1.942993261375415,17521.0,Cumulus: Fluffy,0.008083795539709027
48,1970-02-18,18.0,35.0,748.0,SouthEast,34.93332098516332,16.0,0.05540423173560798,1.9730135404779452,17868.0,Stratocumulus,0.011207219315046599
49,1970-02-19,19.0,38.0,760.0,SouthEast,31.368438488087868,8.0,0.01874767729563958,1.9402549731512952,17795.0,Cirrus,0.014197967012132455
50,1970-02-20,18.0,36.0,736.0,SouthEast,28.80391485137562,6.0,0.01818989710382343,1.9711018681069785,18098.0,Cumulonimbus,0.00854235727342348
51,1970-02-21,19.0,36.0,710.0,NorthEast,38.12262651841088,20.0,0.20315073857446192,1.7882270854809572,17104.0,Mammatus Clouds,0.010378959571066682
52,1970-02-22,19.0,37.0,795.0,NorthWest,33.62588123535234,21.0,0.02762321113343922,1.9399120655968172,17620.0,Lenticular Clouds,0.017480184068862117
53,1970-02-23,18.0,37.0,748.0,SouthEast,32.30934041540607,21.0,0.21928722181941926,1.9974845330980686,18119.0,Altostratus,0.018334484144604122
54,1970-02-24,19.0,37.0,700.0,SouthEast,34.69684014521258,6.0,0.2217726613372426,1.9618328951225465,17121.0,Cirrus,0.011661811776560282
55,1970-02-25,19.0,38.0,739.0,NorthEast,34.68199557654245,6.0,0.060760379023840926,1.9153346931143522,17769.0,Altostratus,0.0025425935621495995
56,1970-02-26,19.0,37.0,816.0,NorthWest,29.55483363209828,20.0,0.1954053840878075,1.9742619833555868,17688.0,Altostratus,0.018665069804035213
57,1970-02-27,20.0,38.0,709.0,SouthEast,30.471712724484817,12.0,0.021590396149092105,1.9661421002199824,17882.0,Cumulonimbus,0.00941055871727217
58,1970-02-28,19.0,36.0,779.0,SouthWest,32.3116572632173,21.0,0.18157716649632158,1.9284123631047865,17102.0,Cumulus: Fluffy,0.013803393042824085
59,1970-03-01,19.0,38.0,750.0,SouthWest,32.45171975266416,23.0,0.19554982110960453,1.8680682689187793,17237.0,Stratus,0.0039180378045348034
60,1970-03-02,18.0,37.0,805.0,NorthEast,35.23241340677785,17.0,0.23863854080005603,1.832976231143763,17925.0,Altocumulus,0.006976307431796012
61,1970-03-03,19.0,38.0,812.0,SouthEast,35.57362766240054,23.0,0.2139158509136131,1.7825246317913945,17047.0,Altocumulus,0.00855462407528393
62,1970-03-04,18.0,36.0,817.0,SouthWest,37.523981292382054,26.0,0.01867443523389903,1.9941126068457447,17231.0,Nimbostratus,0.017276435580217683
63,1970-03-05,18.0,36.0,801.0,NorthWest,29.066065709734072,27.0,0.16835209142538773,1.9329094987359314,18455.0,Contrails,0.013081083447545237
64,1970-03-06,18.0,38.0,721.0,NorthWest,38.82966133905475,11.0,0.18349085665900508,1.7948298216539125,18237.0,Cumulus: Fluffy,0.007972884000956913
65,1970-03-07,18.0,37.0,739.0,NorthWest,30.640687793904004,19.0,0.08099474097961781,1.9118402969423027,17639.0,Cirrocumulus,0.015002375313282974
66,1970-03-08,18.0,38.0,705.0,SouthEast,36.61132862801647,20.0,0.08033670513723959,1.8715360933272114,18180.0,Cumulonimbus,0.0018284448310414859
67,1970-03-09,20.0,37.0,805.0,NorthWest,37.20455159213163,18.0,0.05645321271010126,1.984354287910961,17071.0,Stratus,0.020281301648104856
68,1970-03-10,18.0,37.0,775.0,SouthEast,35.198339498031224,28.0,0.04549684553950247,1.9932000797893088,18459.0,Altocumulus,0.006016572407227712
69,1970-03-11,18.0,37.0,718.0,SouthEast,29.22769132939151,14.0,0.09101455139719446,1.8610915038667575,17934.0,Cumulus: Fluffy,0.01560640644271573
70,1970-03-12,19.0,37.0,805.0,SouthEast,33.72295392766326,25.0,0.15030621569232408,1.875805873323405,18150.0,Mammatus Clouds,0.00844588461314346
71,1970-03-13,19.0,38.0,716.0,NorthEast,31.72531296591744,13.0,0.10201847617340042,1.8909689101310494,17302.0,Lenticular Clouds,0.014477091795055484
72,1970-03-14,18.0,36.0,753.0,SouthEast,36.914948613608615,18.0,0.0409319653325763,1.8463541046572711,17118.0,Altocumulus,0.007477426263396021
73,1970-03-15,18.0,37.0,761.0,NorthWest,39.22088702061785,10.0,0.06872265831426942,1.871945185597826,18243.0,Contrails,0.015987613511336405
74,1970-03-16,18.0,35.0,795.0,SouthEast,34.29777771125519,13.0,0.05242544607827007,1.785822564533668,17702.0,Altostratus,0.0066901090167270924
75,1970-03-17,19.0,36.0,810.0,NorthEast,38.29376830690336,5.0,0.1349171961357923,1.9990854973699232,18074.0,Cumulonimbus,0.01575795285539336
